2016-12-28 17:48:21,482: 140736977560512: WARNING: TypeScript plugin initialized.
2016-12-28 17:48:21,486: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,530: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,531: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,531: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,531: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,531: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,532: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,582: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,583: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,583: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,584: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,584: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:21,584: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,438: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,439: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,439: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,440: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,440: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:22,440: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,292: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,292: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,293: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,293: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,294: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,294: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,323: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,323: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,324: 140736977560512: ERROR: can not send request; node process not running
2016-12-28 17:48:23,325: 140736977560512: ERROR: can not send request; node process not running
